station,lat,lon,k,G,z,d,Q,quality,method
HF1909,-61.1236,-47.7338,0.95,72.63157894736842,7.6,2624.0,69.0,S3,Unconsolidated sediments
HF1910,-61.1239,-48.2835,0.86,86.04651162790698,7.6,2748.0,74.0,S3,Unconsolidated sediments
HF1911,-61.1224,-48.9201,1.05,15.238095238095237,7.6,2854.0,16.0,S3,Unconsolidated sediments
HF1912,-61.1683,-49.7056,0.96,73.95833333333334,7.6,2943.0,71.0,S3,Unconsolidated sediments
HF1914,-60.8382,-49.8366,0.96,57.29166666666667,7.6,2500.0,55.0,S3,Unconsolidated sediments
HF1915,-60.8523,-49.6517,0.96,58.333333333333336,7.6,2649.0,56.0,S3,Unconsolidated sediments
HF1916,-60.8477,-49.3972,1.43,23.776223776223777,7.6,2508.0,34.0,S3,Unconsolidated sediments
HF1917,-60.8476,-48.5034,1.33,35.338345864661655,4.6,2074.0,47.0,S2,Unconsolidated sediments
HF1918,-60.835,-48.2141,0.95,57.89473684210527,7.6,2576.0,55.0,S3,Unconsolidated sediments
HF1919,-60.8467,-47.6762,1.2,54.16666666666667,2.9,1969.0,65.0,S2,Unconsolidated sediments
Lake Whillans ,-84.24,-153.69,2.1,50.0,770.0,770.0,105.0,I1,Ice borehole
Ross Ice Shelf J-9 Hole,-79.364,-168.625,0.816,67.0,2.0,600.0,54.0,S1,Unconsolidated sediments
C8-58 ,-51.083,129.967,0.88,37.5,17.0,3442.0,33.0,S3,Unconsolidated sediments
V33-3 ,-56.217,134.017,0.63,20.634920634920636,9.0,4130.0,13.0,S1,Unconsolidated sediments
V33-4 ,-56.1,131.917,0.63,38.095238095238095,9.0,4402.0,24.0,S1,Unconsolidated sediments
V33-6 ,-54.483,119.933,0.64,14.0625,6.6,4029.0,9.0,S1,Unconsolidated sediments
V33-7 ,-54.467,122.9,0.63,55.55555555555556,6.6,4514.0,35.0,S3,Unconsolidated sediments
V33-8 ,-54.533,125.333,0.68,44.11764705882353,6.5,4679.0,30.0,S1,Unconsolidated sediments
U1532A,-68.6447,-107.525,1.8,54.0,116.0,150.0,97.2,R2,Bedrock borehole
CO8-42,-51.0667,60.3,0.65,75.0,8.0,4720.0,49.0,S3,Unconsolidated sediments
CO8-43,-53.0333,62.55,0.66,91.0,5.0,4430.0,60.0,S3,Unconsolidated sediments
CO8-45,-55.05,71.7833,0.69,93.0,8.0,3508.0,64.0,S1,Unconsolidated sediments
CO8-46,-53.2667,76.9167,0.69,80.0,9.0,1098.0,55.0,S3,Unconsolidated sediments
DSDP511 ,-51.005,-46.9717,0.84,74.0,61.0,2500.0,62.0,S2,Unconsolidated sediments
