case,source,etaP,Vs,r0,alpha,rho,cp,Tv-T0,Lv,Tl-T0,Lm,e,Ke,e*
keyhole,Mat2,93.65,0.45,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000225,15.35065723,5.113636364
keyhole,Mat2,139.89,0.45,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000332,22.9303175,7.545454545
keyhole,Mat2,73.53,0.6,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000182,10.43743519,4.136363636
keyhole,Mat2,111,0.6,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000232,15.75708547,5.272727273
keyhole,Mat2,60.48,0.75,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000089,7.679208089,2.022727273
keyhole,Mat2,91.91,0.75,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000161,11.6694073,3.659090909
keyhole,Mat2,51.35,0.9,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.00007,5.952109699,1.590909091
keyhole,Mat2,78.39,0.9,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000115,9.085346518,2.613636364
keyhole,Mat2,168.89,0.35,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.0005302,31.39064937,12.05
keyhole,Mat2,60.53,1.2,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.0000588,6.07621996,1.336363636
keyhole,Mat3,74.71,0.6,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.00009358,4.352926239,1.701454545
keyhole,Mat3,144.21,0.6,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000181,8.401831793,3.290909091
keyhole,Mat3,222.17,0.6,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000267,12.94446314,4.854545455
keyhole,Mat3,303.8,0.6,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.00038,17.69996956,6.909090909
keyhole,Mat3,111.09,0.3,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000209124,9.153117662,3.80224628
keyhole,Mat3,193.19,0.3,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000333664,15.91850638,6.066624625
keyhole,Mat3,274.84,0.3,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000492085,22.64557338,8.947
