Index,Angle,Porosity,Surface_Area,Permeability_X
414,60,58.63952637,3149,14.601106
415,70,59.86785889,3126,15.9629135
416,80,61.328125,3117,17.354282
417,90,62.6663208,2982,17.490002
418,100,62.08343506,3060,18.216042
419,110,61.71417236,3053,19.611258
420,120,61.10229492,3103,19.265602
421,130,60.76660156,3047,15.887577
422,140,59.52758789,3111,14.570367
423,150,58.81500244,3152,13.89989
424,160,59.92889404,3143,15.547659
425,170,61.27319336,3123,16.121489
426,180,62.4710083,2994,17.755589
427,190,61.99798584,3061,17.57826
428,200,61.74926758,3056,16.30341
429,210,61.12213135,3090,14.705164
430,220,60.8001709,3065,17.703173
431,230,59.47113037,3111,18.249758
432,240,58.66546631,3155,14.82923
433,250,59.80987549,3148,15.979413
434,260,61.13128662,3126,17.154942
435,270,62.37945557,3004,17.165022
436,280,62.07427979,3059,18.330132
437,290,61.73248291,3055,19.380503
438,300,61.08093262,3097,19.70972
439,310,60.8581543,3059,15.884028
440,320,59.51385498,3100,14.289578
441,330,58.48846436,3152,13.765739
442,340,59.74121094,3131,15.378067
443,350,61.18774414,3121,15.842014
444,360,62.57781982,2992,17.536953
445,0,44.77996826,3160,4.9385366
446,10,45.10650635,3153,5.2432075
447,20,44.58770752,3045,5.1464667
448,30,45.64056396,3012,5.6765094
449,40,46.22802734,2808,5.156453
450,50,44.02160645,2931,4.447477
451,60,43.45855713,3067,4.95545
452,70,44.68536377,3128,4.991515
453,80,45.21484375,3112,4.721963
454,90,44.79064941,3152,4.238845
455,100,45.14160156,3170,4.3693147
456,110,44.58465576,3046,3.3299427
457,120,45.75500488,3009,3.2088275
458,130,46.29516602,2788,4.704366
459,140,43.93615723,2907,5.1018205
460,150,43.39904785,3062,4.4054403
461,160,44.7265625,3128,4.2109385
462,170,45.22399902,3117,4.539704
463,180,44.79064941,3151,4.748841
464,190,45.1461792,3159,5.1180735
465,200,44.51141357,3051,5.0540466
466,210,45.66040039,3015,5.608026
467,220,46.1807251,2807,5.1267653
468,230,43.80950928,2913,4.470912
469,240,43.3303833,3058,5.058124
470,250,44.79064941,3117,5.0843444
471,260,45.2255249,3138,4.8613296
472,270,44.77996826,3159,4.4088326
473,280,45.11566162,3142,4.4576964
