P,eta,etaP,Vs,d,r0,K,cp,alpha,rho,Tv-T0,Lv,Tl-T0,Lm,e,Ke,e*
207.849,0.42,87.85,0.4,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,8.19804E-05,4.44302459,1.171148571
234.012,0.45,106.05,0.4,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000109415,5.363373191,1.563071429
258.721,0.48,123.90,0.4,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000146853,6.266301099,2.0979
155.523,0.26,40.44,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,1.46112E-05,1.545937427,0.208731429
207.849,0.29,59.77,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,3.32304E-05,2.285247963,0.47472
232.558,0.31,72.73,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,4.44186E-05,2.78043166,0.634551429
258.721,0.34,87.36,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,5.93532E-05,3.340024018,0.847902857
284.884,0.36,102.85,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,6.80378E-05,3.932022406,0.971968571
311.047,0.38,119.09,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,7.29724E-05,4.552834859,1.042462857
363.372,0.42,153.49,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000109092,5.868122324,1.558457143
417.151,0.46,191.02,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000138957,7.30298252,1.9851
520.349,0.51,267.37,0.7,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000209949,10.222184,2.999271429
207.849,0.26,54.04,1,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,1.82304E-05,1.728598954,0.260434286
234.012,0.26,60.84,1,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000023165,1.946186406,0.330928571
258.721,0.26,67.27,1,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,3.68532E-05,2.151681509,0.526474286
284.884,0.28,79.38,1,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,3.67878E-05,2.539097412,0.52554
312.5,0.30,93.40,1,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,5.04687E-05,2.987459269,0.720981429
363.372,0.33,121.23,1,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,7.40916E-05,3.877804418,1.058451429
416,0.31,128.49,0.3,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.00039,25.79446765,8.863636364
520,0.36,188.15,0.3,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.000562,37.7722864,12.77272727
416,0.23,93.65,0.45,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.000225,15.35065723,5.113636364
520,0.27,139.89,0.45,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.000332,22.9303175,7.545454545
416,0.18,73.53,0.6,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.000182,10.43743519,4.136363636
520,0.21,111.00,0.6,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.000232,15.75708547,5.272727273
416,0.15,60.48,0.75,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.000089,7.679208089,2.022727273
520,0.18,91.91,0.75,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.000161,11.6694073,3.659090909
416,0.12,51.35,0.9,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.00007,5.952109699,1.590909091
520,0.15,78.39,0.9,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.000115,9.085346518,2.613636364
520,0.32,168.89,0.35,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.0005302,31.39064937,12.05
520,0.12,60.53,1.2,0.000088,0.000044,90,1170,3.18522E-05,2415,2499,10530000,622,380000,0.0000588,6.07621996,1.336363636
208,0.36,74.71,0.6,0.00011,0.000055,26.9,790,4.9485E-06,6881,2829,6336000,1430,260000,0.00009358,4.352926239,1.701454545
312,0.46,144.21,0.6,0.00011,0.000055,26.9,790,4.9485E-06,6881,2829,6336000,1430,260000,0.000181,8.401831793,3.290909091
416,0.53,222.17,0.6,0.00011,0.000055,26.9,790,4.9485E-06,6881,2829,6336000,1430,260000,0.000267,12.94446314,4.854545455
520,0.58,303.80,0.6,0.00011,0.000055,26.9,790,4.9485E-06,6881,2829,6336000,1430,260000,0.00038,17.69996956,6.909090909
208,0.53,111.09,0.3,0.00011,0.000055,26.9,790,4.9485E-06,6881,2829,6336000,1430,260000,0.000209124,9.153117662,3.80224628
312,0.62,193.19,0.3,0.00011,0.000055,26.9,790,4.9485E-06,6881,2829,6336000,1430,260000,0.000333664,15.91850638,6.066624625
416,0.66,274.84,0.3,0.00011,0.000055,26.9,790,4.9485E-06,6881,2829,6336000,1430,260000,0.000492085,22.64557338,8.947
